ags,pv,wind_on,biomass,water
DG000000,41239343.78500012,52205861.15099997,7696928.022999997,5507365.552999994
01001000,13550.320000000014,39710.0,0.0,3.5
01002000,9288.588000000003,75.0,543.0,100.0
01003000,10868.102000000015,14650.0,13741.5,30.0
01004000,11805.507000000003,0.0,136.0,0.0
01051011,6991.390000000005,182667.0,7467.0,0.0
01051044,5833.175000000003,669.5,0.0,0.0
01051003,815.68,11.0,0.0,0.0
01051010,661.5,0.0,0.0,0.0
01051012,1730.2100000000003,0.0,455.0,0.0
01051016,1501.379,0.0,0.0,0.0
01051022,1142.5249999999999,26960.0,800.0,0.0
01051024,1160.6899999999998,0.0,340.0,0.0
01051026,748.6899999999999,27520.0,0.0,0.0
01051032,1060.88,0.0,0.0,0.0
01051037,693.265,1.0,0.0,0.0
01051051,840.731,0.0,0.0,0.0
01051064,1438.135,0.0,0.0,0.0
01051089,187.98000000000002,0.0,0.0,0.0
01051097,7332.8319999999985,40047.5,504.0,0.0
01051110,872.5100000000001,13810.0,0.0,0.0
01051021,1938.6449999999995,20500.0,0.0,0.0
01051034,7199.760000000007,205825.0,0.0,0.0
01051046,1928.4199999999998,53770.0,0.0,0.0
01051057,1922.6049999999998,46474.0,0.0,0.0
01051062,7901.450000000002,105200.0,750.0,0.0
01051072,3644.7410000000004,0.0,0.0,0.0
01051073,431.744,0.0,0.0,0.0
01051076,2863.7449999999994,0.0,0.0,0.0
01051077,2677.335,2550.0,0.0,0.0
01051090,1603.992,18455.0,75.0,0.0
01051103,1151.34,9000.0,0.0,0.0
01051118,731.5329999999999,2660.0,0.0,0.0
01051119,1698.755,515.8,0.0,0.0
01051005,160.76999999999998,0.0,0.0,0.0
01051008,540.24,0.0,0.0,0.0
01051019,1612.8649999999998,6.0,0.0,0.0
01051020,1078.9499999999998,0.0,0.0,0.0
01051023,1570.2549999999997,0.0,0.0,0.0
01051030,1113.125,0.0,0.0,0.0
01051035,131.8,0.0,0.0,0.0
01051036,1541.855,0.0,1272.0,0.0
01051038,2387.3949999999995,0.0,0.0,0.0
01051047,1641.6200000000003,137720.0,0.0,0.0
01051049,2115.7849999999994,32625.0,4995.0,0.0
01051052,197.89000000000001,6.0,0.0,0.0
01051053,421.33000000000004,0.0,250.0,0.0
01051058,1569.565,11506.0,0.0,0.0
01051060,647.7400000000001,0.0,0.0,0.0
01051061,412.53000000000003,27.5,0.0,0.0
01051065,1127.805,900.0,190.0,0.0
01051068,1468.244,0.0,556.0,0.0
01051071,244.94,0.0,0.0,0.0
01051080,244.02,16500.0,250.0,0.0
01051088,5390.285000000001,0.0,0.0,0.0
01051092,483.19,15.0,0.0,0.0
01051096,690.0200000000001,0.0,652.0,0.0
01051100,524.46,6.0,0.0,0.0
01051102,661.57,6.0,0.0,0.0
01051114,3015.870000000001,9900.0,0.0,0.0
01051117,513.11,0.0,0.0,0.0
01051120,165.23000000000002,0.0,0.0,0.0
01051125,254.18,0.0,0.0,0.0
01051131,456.2,0.0,0.0,0.0
01051133,187.75,0.0,0.0,0.0
01051136,1119.24,33825.0,1108.0,0.0
01051139,1671.6250000000002,22970.0,400.0,0.0
01051141,1877.82,0.0,510.0,0.0
01051048,2381.6200000000003,20.0,0.0,0.0
01051067,339.99,7900.0,0.0,0.0
01051069,601.4350000000002,1510.0,0.0,0.0
01051075,5199.08,55356.0,515.0,0.0
01051081,1580.498,110050.0,0.0,0.0
01051082,1789.0149999999999,7.0,1523.0,0.0
01051087,434.855,0.0,0.0,0.0
01051107,750.905,19800.0,0.0,0.0
01051113,2615.5749999999985,109104.0,1962.0,0.0
01051122,7753.045000000001,0.0,0.0,0.0
01051130,706.7600000000001,0.0,0.0,0.0
01051001,5851.179999999999,23850.0,0.0,0.0
01051002,678.2180000000001,0.0,2494.0,0.0
01051004,2124.1649999999995,0.0,0.0,0.0
01051006,2985.47,60936.0,0.0,0.0
01051015,995.7800000000002,6.0,780.0,0.0
01051017,12859.445000000002,500.0,0.0,0.0
01051027,8135.7890000000025,2606.74,0.0,0.0
01051028,6529.290000000003,956.0,610.0,0.0
01051039,590.94,0.0,0.0,0.0
01051054,320.65999999999997,0.0,0.0,0.0
01051063,1331.38,0.0,75.0,0.0
01051074,8472.700000000003,10.0,250.0,0.0
01051078,5499.772,14.0,0.0,0.0
01051083,789.8100000000001,0.0,0.0,0.0
01051085,1498.6750000000002,0.0,0.0,0.0
01051086,1148.74,0.0,0.0,0.0
01051098,645.185,0.0,0.0,0.0
01051099,1945.495,0.0,0.0,0.0
01051104,88.6,9.8,0.0,0.0
01051126,525.38,0.0,0.0,0.0
01051134,754.7300000000001,0.0,0.0,0.0
01051135,2841.3600000000006,6.0,0.0,0.0
01051137,13528.405,0.0,0.0,0.0
01051138,2003.3049999999994,13200.0,2500.0,0.0
01051013,2072.212,0.0,400.0,0.0
01051014,293.565,0.0,0.0,0.0
01051033,720.62,27300.0,0.0,0.0
01051043,92.5,53005.0,0.0,0.0
01051045,1376.4099999999999,31490.0,0.0,0.0
01051050,674.2,27850.0,0.0,0.0
01051079,1289.955,24206.0,185.0,0.0
01051084,458.33,2675.0,0.0,0.0
01051093,946.1349999999999,33520.0,0.0,0.0
01051105,1495.822,16500.0,0.0,0.0
01051108,161.355,32100.0,0.0,0.0
01051109,1904.67,21450.0,0.0,0.0
01051121,92.05,0.0,0.0,0.0
01051127,2029.1249999999993,6900.0,0.0,0.0
01051128,139.43,29000.0,0.0,0.0
01051129,855.4110000000001,33200.0,0.0,0.0
01051132,574.5500000000001,0.0,0.0,0.0
01051140,1790.84,41750.0,855.0,0.0
01053032,2350.0300000000007,1001.0,1526.0,0.0
01053083,801.34,0.0,1167.0,0.0
01053090,1146.795,0.0,3397.0,0.0
01053100,1598.374999999999,0.0,934.0,0.0
01053116,2325.564,0.0,937.0,0.0
01053129,506.56000000000006,0.0,908.0,0.0
01053008,109.47,0.0,0.0,0.0
01053009,479.59999999999997,0.0,0.0,0.0
01053011,189.485,0.0,0.0,0.0
01053024,53.5,0.0,0.0,0.0
01053034,8.4,0.0,0.0,0.0
01053061,274.685,15375.0,0.0,0.0
01053067,274.445,0.0,590.0,0.0
01053075,88.257,0.0,0.0,0.0
01053094,109.78,0.0,0.0,0.0
01053103,277.93399999999997,0.0,400.0,0.0
01053120,23.3,0.0,0.0,0.0
01053002,196.74,7800.0,0.0,0.0
01053005,442.82500000000005,6300.0,250.0,0.0
01053013,9.84,0.0,0.0,0.0
01053014,450.775,11750.0,0.0,0.0
01053037,35.010000000000005,0.0,0.0,0.0
01053056,44.0,0.0,0.0,0.0
01053084,45.3,0.0,0.0,0.0
01053095,143.115,0.0,0.0,0.0
01053113,378.96999999999997,0.0,0.0,0.0
01053125,124.68999999999998,0.0,0.0,0.0
01053134,398.24,0.0,0.0,0.0
01053010,149.54,0.0,0.0,0.0
01053015,234.28,0.0,0.0,0.0
01053020,1323.75,0.0,585.0,0.0
01053029,271.3,0.0,0.0,0.0
01053035,107.995,0.0,0.0,0.0
01053046,1244.08,10.0,0.0,0.0
01053048,206.31999999999996,0.0,0.0,0.0
01053064,145.96999999999997,0.0,0.0,0.0
01053080,121.58,0.0,0.0,0.0
01053092,685.4750000000001,0.0,0.0,0.0
01053104,429.86999999999995,0.0,299.0,0.0
01053115,173.84,0.0,0.0,0.0
01053119,42.290000000000006,0.0,549.0,0.0
01053126,265.23,0.0,0.0,0.0
01053132,146.42499999999998,0.0,0.0,0.0
