ags,chem_ammonia,chem_basic,chem_other,metal_nonfe,metal_steel_primary,metal_steel_secondary,miner_cement,miner_ceram,miner_chalk,miner_glas,other_food,other_further,other_paper,DG000000,count_chem_ammonia,count_chem_basic,count_chem_other,count_metal_nonfe,count_metal_steel_primary,count_metal_steel_secondary,count_miner_cement,count_miner_ceram,count_miner_chalk,count_miner_glas,count_other_food,count_other_further,count_other_paper,count_DG000000
01001000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28191.0,28191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
01002000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
01051011,0.0,327042.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,327042,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
01055017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28190.0,0.0,0.0,28190,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
01056048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26175.0,26175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
01056049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28593.0,28593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
01060092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32852.0,0.0,0.0,0.0,32852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1
01061020,1115915.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1115915,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
01061029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7131.0,7131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
01061061,0.0,0.0,0.0,0.0,0.0,0.0,1052647.0,0.0,0.0,0.0,0.0,0.0,0.0,1052647,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
