ags,description
01000000,Schleswig-Holstein
01001000,"Flensburg, Stadt"
01002000,"Kiel, Landeshauptstadt"
01003000,"Lübeck, Hansestadt"
01004000,"Neumünster, Stadt"
01051000,"Dithmarschen, (Kreis)"
01051001,Albersdorf
01051002,Arkebek
01051003,Averlak
01051004,Bargenstedt
01051005,Barkenholm
01051006,Barlt
01051008,Bergewöhrden
01051010,Brickeln
01051011,"Brunsbüttel, Stadt"
01051012,Buchholz
01051013,Büsum
01051014,Büsumer Deichhausen
01051015,Bunsoh
01051016,Burg (Dithmarschen)
01051017,Busenwurth
01051019,Dellstedt
01051020,Delve
01051021,Diekhusen-Fahrstedt
01051022,Dingen
01051023,Dörpling
01051024,Eddelak
01051026,Eggstedt
01051027,Elpersbüttel
01051028,Epenwöhrden
01051030,Fedderingen
01051032,Frestedt
01051033,Friedrichsgabekoog
01051034,Friedrichskoog
01051035,Gaushorn
01051036,Glüsing
01051037,Großenrade
01051038,Groven
01051039,Gudendorf
01051043,Hedwigenkoog
01051044,"Heide, Stadt"
01051045,Hellschen-Heringsand-Unterschaar
01051046,Helse
01051047,Hemme
01051048,Hemmingstedt
01051049,Hennstedt
01051050,Hillgroven
01051051,Hochdonn
01051052,Hövede
01051053,Hollingstedt
01051054,Immenstedt
01051057,Kaiser-Wilhelm-Koog
01051058,Karolinenkoog
01051060,Kleve
01051061,Krempel
01051062,Kronprinzenkoog
01051063,Krumstedt
01051064,Kuden
01051065,Lehe
01051067,Lieth
01051068,Linden
01051069,Lohe-Rickelshof
01051071,Lunden
01051072,"Marne, Stadt"
01051073,Marnerdeich
01051074,"Meldorf, Stadt"
01051075,Neuenkirchen
01051076,Neufeld
01051077,Neufelderkoog
01051078,Nindorf
01051079,Norddeich
01051080,Norderheistedt
01051081,Norderwöhrden
01051082,Nordhastedt
01051083,Odderade
01051084,Oesterdeichstrich
01051085,Offenbüttel
01051086,Osterrade
01051087,Ostrohe
01051088,Pahlen
01051089,Quickborn
01051090,Ramhusen
01051092,Rehm-Flehde-Bargen
01051093,Reinsbüttel
01051096,Sankt Annen
01051097,Sankt Michaelisdonn
01051098,Sarzbüttel
01051099,Schafstedt
01051100,Schalkholz
01051102,Schlichting
01051103,Schmedeswurth
01051104,Schrum
01051105,Schülp
01051107,Stelle-Wittenwurth
01051108,Strübbel
01051109,Süderdeich
01051110,Süderhastedt
01051113,Wöhrden
01051114,Tellingstedt
01051117,Tielenhemme
01051118,Trennewurth
01051119,Volsemenhusen
01051120,Wallen
01051121,Warwerort
01051122,Weddingstedt
01051125,Welmbüttel
01051126,Wennbüttel
01051127,"Wesselburen, Stadt"
01051128,Wesselburener Deichhausen
01051129,Wesselburenerkoog
01051130,Wesseln
01051131,Westerborstel
01051132,Westerdeichstrich
01051133,Wiemerstedt
01051134,Windbergen
01051135,Wolmersdorf
01051136,Wrohm
01051137,Nordermeldorf
01051138,Tensbüttel-Röst
01051139,Süderdorf
01051140,Oesterwurth
01051141,Süderheistedt
01053000,"Herzogtum Lauenburg, (Kreis)"
01053001,Albsfelde
01053002,Alt-Mölln
01053003,Aumühle
01053004,Bäk
01053005,Bälau
01053006,Basedow
01053007,Basthorst
01053008,Behlendorf
01053009,Berkenthin
01053010,Besenthal
01053011,Bliestorf
01053012,Börnsen
01053013,Borstorf
01053014,Breitenfelde
01053015,Bröthen
01053016,Brunsmark
01053017,Brunstorf
01053018,Buchholz
01053019,Buchhorst
01053020,Büchen
01053021,Dahmker
01053022,Dalldorf
01053023,Dassendorf
01053024,Düchelsdorf
01053025,Duvensee
01053026,Einhaus
01053027,Elmenhorst
01053028,Escheburg
01053029,Fitzen
01053030,Fredeburg
01053031,Fuhlenhagen
01053032,"Geesthacht, Stadt"
01053033,Giesensdorf
01053034,Göldenitz
01053035,Göttin
01053036,Grabau
01053037,Grambek
01053038,Grinau
01053039,Groß Boden
01053040,Groß Disnack
01053041,Groß Grönau
01053042,Groß Pampau
01053043,Groß Sarau
01053044,Groß Schenkenberg
01053045,Grove
01053046,Gudow
01053047,Gülzow
01053048,Güster
01053049,Hamfelde
01053050,Hamwarde
01053051,Harmsdorf
01053052,Havekost
01053053,Hohenhorn
01053054,Hollenbek
01053056,Hornbek
01053057,Horst
01053058,Juliusburg
01053059,Kankelau
01053060,Kasseburg
01053061,Kastorf
01053062,Kittlitz
01053064,Klein Pampau
01053066,Klein Zecher
01053067,Klempau
01053068,Klinkrade
01053069,Koberg
01053070,Köthel
01053071,Kollow
01053072,Kröppelshagen-Fahrendorf
01053073,Krüzen
01053074,Krukow
01053075,Krummesse
01053076,Kuddewörde
01053077,Kühsen
01053078,Kulpin
01053079,Labenz
01053080,Langenlehsten
01053081,Lankau
01053082,Lanze
01053083,"Lauenburg/ Elbe, Stadt"
01053084,Lehmrade
01053085,Linau
01053086,Lüchow
01053087,Lütau
01053088,Mechow
01053089,Möhnsen
01053090,"Mölln, Stadt"
01053091,Mühlenrade
01053092,Müssen
01053093,Mustin
01053094,Niendorf bei Berkenthin
01053095,Niendorf/ Stecknitz
01053096,Nusse
01053097,Panten
01053098,Pogeez
01053099,Poggensee
01053100,"Ratzeburg, Stadt"
01053101,Ritzerau
01053102,Römnitz
01053103,Rondeshagen
01053104,Roseburg
01053106,Sahms
01053107,Salem
01053108,Sandesneben
01053109,Schiphorst
01053110,Schmilau
01053111,Schnakenbek
01053112,Schönberg
01053113,Schretstaken
01053114,Schürensöhlen
01053115,Schulendorf
01053116,"Schwarzenbek, Stadt"
01053117,Seedorf
01053118,Siebenbäumen
01053119,Siebeneichen
01053120,Sierksrade
01053121,Sirksfelde
01053122,Steinhorst
01053123,Sterley
01053124,Stubben
01053125,Talkau
01053126,Tramm
01053127,Walksfelde
01053128,Wangelau
01053129,Wentorf bei Hamburg
01053130,Wentorf (Amt Sandesneben)
01053131,Wiershop
01053132,Witzeeze
01053133,Wohltorf
01053134,Woltersdorf
01053135,Worth
01053136,Ziethen
01054000,"Nordfriesland, (Kreis)"
01054001,Achtrup
01054002,Ahrenshöft
01054003,Ahrenviöl
01054004,Ahrenviölfeld
01054005,Alkersum
01054006,Almdorf
01054007,Arlewatt
01054009,Aventoft
01054010,Bargum
01054011,Behrendorf
01054012,Bohmstedt
01054013,Bondelum
01054014,Bordelum
01054015,Borgsum
01054016,Bosbüll
01054017,Braderup
01054018,Bramstedtlund
01054019,"Bredstedt, Stadt"
01054020,Breklum
01054022,Dagebüll
01054023,Drage
01054024,Drelsdorf
01054025,Dunsum
01054026,Elisabeth-Sophien-Koog
01054027,Ellhöft
01054032,Fresendelf
01054033,"Friedrichstadt, Stadt"
01054034,Friedrich-Wilhelm-Lübke-Koog
01054035,"Garding, Kirchspiel"
01054036,"Garding, Stadt"
01054037,Goldebek
01054038,Goldelund
01054039,Gröde
01054040,Grothusenkoog
01054041,Haselund
01054042,Hattstedt
01054043,Hattstedtermarsch
01054045,Högel
01054046,Hörnum (Sylt)
01054048,Holm
01054050,Hallig Hooge
01054052,Horstedt
01054054,Hude
01054055,Humptrup
01054056,"Husum, Stadt"
01054057,Immenstedt
01054059,Joldelund
01054061,Kampen (Sylt)
01054062,Karlum
01054063,Katharinenheerd
01054065,Klanxbüll
01054068,Klixbüll
01054070,Koldenbüttel
01054071,Kolkerheide
01054072,Kotzenbüll
01054073,Ladelund
01054074,Langeneß
01054075,Langenhorn
01054076,Leck
01054077,Lexgaard
01054078,List auf Sylt
01054079,Löwenstedt
01054080,Lütjenholm
01054083,Midlum
01054084,Mildstedt
01054085,Nebel
01054086,Neukirchen
01054087,Nieblum
01054088,"Niebüll, Stadt"
01054089,Norddorf auf Amrum
01054090,Norderfriedrichskoog
01054091,Nordstrand
01054092,Norstedt
01054093,Ockholm
01054094,Oevenum
01054095,Oldenswort
01054096,Oldersbek
01054097,Olderup
01054098,Oldsum
01054099,Ostenfeld (Husum)
01054100,Osterhever
01054101,Oster-Ohrstedt
01054103,Pellworm
01054104,Poppenbüll
01054105,Ramstedt
01054106,Rantrum
01054108,Reußenköge
01054109,Risum-Lindholm
01054110,Rodenäs
01054113,Sankt Peter-Ording
01054116,Schwabstedt
01054118,Schwesing
01054119,Seeth
01054120,Simonsberg
01054121,Sönnebüll
01054123,Sollwitt
01054124,Sprakebüll
01054125,Stadum
01054126,Stedesand
01054128,Struckum
01054129,Süderende
01054130,Süderhöft
01054131,Süderlügum
01054132,Südermarsch
01054134,Tating
01054135,Tetenbüll
01054136,Tinningstedt
01054138,"Tönning, Stadt"
01054140,Tümlauer Koog
01054141,Uelvesbüll
01054142,Uphusum
01054143,Utersum
01054144,Viöl
01054145,Vollerwiek
01054146,Vollstedt
01054148,Welt
01054149,Wenningstedt-Braderup (Sylt)
01054150,Westerhever
01054152,Wester-Ohrstedt
01054154,Westre
01054156,Winnert
01054157,Wisch
01054158,Witsum
01054159,Wittbek
01054160,Wittdün auf Amrum
01054161,Witzwort
01054162,Wobbenbüll
01054163,Wrixum
01054164,"Wyk auf Föhr, Stadt"
01054165,Galmsbüll
01054166,Emmelsbüll-Horsbüll
01054167,Enge-Sande
01054168,Sylt
01055000,"Ostholstein, (Kreis)"
01055001,Ahrensbök
01055002,Altenkrempe
01055004,"Bad Schwartau, Stadt"
01055006,Beschendorf
01055007,Bosau
01055010,Dahme
01055011,Damlos
01055012,"Eutin, Stadt"
01055014,Göhl
01055015,Gremersdorf
01055016,Grömitz
01055017,Großenbrode
01055018,Grube
01055020,Harmsdorf
01055021,"Heiligenhafen, Stadt"
01055022,Heringsdorf
01055023,Kabelhorst
01055024,Kasseedorf
01055025,Kellenhusen (Ostsee)
01055027,Lensahn
01055028,Malente
01055029,Manhagen
