description;value
result.i18.i.CO2e_combustion_based;90944515,00
result.i18.i.CO2e_production_based;64722608,00
result.i18.i.CO2e_total;155667123,00
result.i18.i.energy;722440281,08
result.i18.i.prod_volume;249861449,00
result.i18.p.CO2e_combustion_based;90944515,00
result.i18.p.CO2e_production_based;64722608,00
result.i18.p.CO2e_total;155667123,00
result.i18.p.energy;722440281,08
result.i18.p.prod_volume;249861449,00
result.i18.p_chem.CO2e_combustion_based;19697645,00
result.i18.p_chem.CO2e_production_based;6615950,00
result.i18.p_chem.CO2e_total;26313595,00
result.i18.p_chem.energy;171225833,44
result.i18.p_chem.prod_volume;12300000,00
result.i18.p_chem_ammonia.CO2e_combustion_based;1565000,00
result.i18.p_chem_ammonia.CO2e_combustion_based_per_t;0,50
result.i18.p_chem_ammonia.CO2e_production_based;4157000,00
result.i18.p_chem_ammonia.CO2e_production_based_per_t;1,33
result.i18.p_chem_ammonia.CO2e_total;5722000,00
result.i18.p_chem_ammonia.energy;21910000,00
result.i18.p_chem_ammonia.energy_use_factor;0,14
result.i18.p_chem_ammonia.pct_energy;0,13
result.i18.p_chem_ammonia.prod_volume;3130000,00
result.i18.p_chem_basic.CO2e_combustion_based;15511195,00
result.i18.p_chem_basic.CO2e_combustion_based_per_t;2,90
result.i18.p_chem_basic.CO2e_production_based;2458950,00
result.i18.p_chem_basic.CO2e_production_based_per_t;0,46
result.i18.p_chem_basic.CO2e_total;17970145,00
result.i18.p_chem_basic.energy;125091389,00
result.i18.p_chem_basic.energy_use_factor;0,04
result.i18.p_chem_basic.pct_energy;0,73
result.i18.p_chem_basic.prod_volume;5357000,00
result.i18.p_chem_other.CO2e_combustion_based;2621450,00
result.i18.p_chem_other.CO2e_combustion_based_per_t;0,69
result.i18.p_chem_other.CO2e_production_based;0,00
result.i18.p_chem_other.CO2e_production_based_per_t;0,00
result.i18.p_chem_other.CO2e_total;2621450,00
result.i18.p_chem_other.energy;24224444,44
result.i18.p_chem_other.energy_use_factor;0,16
result.i18.p_chem_other.pct_energy;0,14
result.i18.p_chem_other.prod_volume;3813000,00
result.i18.p_metal.CO2e_combustion_based;38292520,00
result.i18.p_metal.CO2e_production_based;21488751,00
result.i18.p_metal.CO2e_total;59781271,00
result.i18.p_metal.energy;190428058,85
result.i18.p_metal.prod_volume;54811000,00
result.i18.p_metal_nonfe.CO2e_combustion_based;2855587,42
result.i18.p_metal_nonfe.CO2e_combustion_based_per_t;0,23
result.i18.p_metal_nonfe.CO2e_production_based;1320000,00
result.i18.p_metal_nonfe.CO2e_production_based_per_t;0,11
result.i18.p_metal_nonfe.CO2e_total;4175587,42
result.i18.p_metal_nonfe.energy;35355002,83
result.i18.p_metal_nonfe.energy_use_factor;0,35
