ID;Nummer;Betreiber;Anlagenname;Bundesland;PLZ;Ort Orignal;Ort;VET 2018 [t CO2 Äq];Haupttätigkeit nach TEHG;Bezeichnung Haupttätigkeit nach TEHG;NACE WZ2008;AGS_manual;AGS;Prüfsumme
6;14210-0006;TOTAL Bitumen Deutschland GmbH;Destillation und Nebenanlagen;SH;25541;Brunsbüttel;Brunsbüttel;33.165;7;Raffinerien;NACE 19.20;;01051011;1
20;14210-0020;TOTAL Raffinerie Mitteldeutschland GmbH;Mineralölraffinerie Leuna;ST;06237;Spergau;Spergau;2.135.154;7;Raffinerien;NACE 19.20;;15088350;1
56;14220-0019;Aktiengesellschaft der Dillinger Hüttenwerke;Einheitliche Anlage Stahlwerk Dillinger Hütte;SL;66763;Dillingen, Saar;Dillingen;407.136;10;Herstellung von Roheisen und Stahl;NACE 24.10;;09773125;3
205003;14226-0017;Vallourec Deutschland GmbH;Rohrkontistraße;NW;45476;Mülheim an der Ruhr;Mülheim an der Ruhr;53.935;11;Verarbeitung von Eisenmetallen;NACE 24.20;;05117000;1
205385;14226-0078;Hammerwerk Erft, G. Diederichs GmbH & Co. KG;Hammerwerk und Warmwalzwerk;NW;53902;Bad Münstereifel;Bad Münstereifel;18.639;11;Verarbeitung von Eisenmetallen;NACE 25.50;;05366004;1
75;14230-0003;Holcim (Deutschland) GmbH;Werk Höver;NI;31319;Sehnde;Sehnde;654.419;14;Herstellung von Zementklinker;NACE 23.51;;03241016;1
125;14240-0006;Fels-Werke GmbH;Fels KH NSO 1 - 5;ST;38875;Oberharz am Brocken;Oberharz am Brocken;179.402;15;Herstellung von Kalk;NACE 23.52;;15085228;1
126;14240-0007;Fels-Werke GmbH;Fels KK RSO 1-4;ST;38875;Oberharz am Brocken;Oberharz am Brocken;257.226;15;Herstellung von Kalk;NACE 23.52;;15085228;1
128;14240-0009;Fels-Werke GmbH;Fels KK NSO 5;ST;38875;Oberharz am Brocken;Oberharz am Brocken;40.810;15;Herstellung von Kalk;NACE 23.52;;15085228;1
129;14240-0010;Fels-Werke GmbH;Fels KR GGR 9;ST;38889;Oberharz am Brocken;Oberharz am Brocken;97.226;15;Herstellung von Kalk;NACE 23.52;;15085228;1
130;14240-0011;Fels-Werke GmbH;Fels KA RSO NSO GGR;BY;93342;Saal a.d.Donau;Saal a.d.Donau;296.114;15;Herstellung von Kalk;NACE 23.52;;09273166;1
132;14240-0013;Fels-Werke GmbH;Fels KK GGR 6;ST;38875;Oberharz am Brocken;Oberharz am Brocken;48.840;15;Herstellung von Kalk;NACE 23.52;;15085228;1
144;14240-0026;Kalk- und Mergelwerke Heinrich Müller GmbH & Co. KG;Kalkschachtofen;NW;33790;Halle (Westf.);Halle (Westf.);9.506;15;Herstellung von Kalk;NACE 23.52;;05754012;1
163;14240-0047;Nordzucker AG;Feuerungsanlagen Klein Wanzleben;ST;39164;Wanzleben;Wanzleben;107.887;15;Herstellung von Kalk;NACE 10.81;;15083530;2
168;14240-0053;Fels-Werke GmbH;Fels KR NSO 1-8;ST;38889;Oberharz am Brocken;Oberharz am Brocken;197.078;15;Herstellung von Kalk;NACE 23.52;;15085228;1
169;14240-0054;Köhler Kalk GmbH;Kalkwerk;HE;32790;Meißner;Meißner;49.916;15;Herstellung von Kalk;NACE 23.52;;06636008;1
180;14240-0067;Pfeifer & Langen GmbH & Co. KG;Zuckerfabrik Appeldorn;NW;47546;Kalkar;Kalkar;45.114;15;Herstellung von Kalk;NACE 10.81;;05154024;1
3698;14240-0086;Südzucker AG;Zuckerfabrik Brottewitz;BB;04895;Mühlberg/Elbe;Mühlberg/Elbe;72.412;15;Herstellung von Kalk;NACE 10.81;;12062341;1
4105;14240-0090;Fels-Werke GmbH;Fels KK GGR 7;ST;38875;Oberharz am Brocken;Oberharz am Brocken;108.815;15;Herstellung von Kalk;NACE 23.52;;15085228;1
200;14250-0014;SAINT-GOBAIN GLASS Deutschland GmbH;Glasschmelzanlage zur Herstellung von Flachglas nach dem Floatverfahren;NW;51143;Köln;Köln;157.478;16;Herstellung von Glas;NACE 23.11;;05315000;1
210;14250-0024;Glaswerk Ernstthal GmbH;Anlage zur Herstellung von Glas;TH;98724;Lauscha;Lauscha;87.322;16;Herstellung von Glas;NACE 23.13;;16072011;1
231;14250-0047;Heinz-Glas Produktion GmbH & Co. KGaA;Wanne2+3 mit Feedern und Kühlbahnen;BY;96355;Tettau;Tettau;5.753;16;Herstellung von Glas;NACE 23.13;;09476179;3
262;14250-0078;Wiegand-Glashüttenwerke GmbH;Wiegand-Glashüttenwerke GmbH Werk Steinbach a. Wald;BY;96361;Steinbach a.Wald;Steinbach a.Wald;78.773;16;Herstellung von Glas;NACE 23.13;;09476175;1
1882;14250-0093;Euroglas AG;Flachglasanlage;ST;39171;Osterweddingen;Sülzetal;145.985;16;Herstellung von Glas;NACE 23.11;;15083490;1
4139;14250-0101;f | glass GmbH;Anlage zum Herstellen von Flachglas;ST;39171;Osterweddingen;Sülzetal;125.921;16;Herstellung von Glas;NACE 23.19;;15083490;1
4168;14250-0106;Heinz-Glas Produktion GmbH & Co.KGaA;Wanne5;BY;96355;Tettau - Kleintettau;Tettau;5.529;16;Herstellung von Glas;NACE 23.13;;09476179;3
3900;14255-0004;ROCKWOOL Operations GmbH & Co. KG;Werk Neuburg Mineralwollherstellung Linie 4 und 5;BY;86633;Neuburg a. d. Donau;Neuburg a.d.Donau;76.769;18;Herstellung von Mineralfasern;NACE 23.99;;#NV;0
289;14260-0015;Erbersdobler Ziegel GmbH & Co. KG;Ziegelwerk Erbersdobler;BY;94081;Fürstenzell, Markt;Fürstenzell;22.588;17;Herstellung von Keramik;NACE 23.32;;09275122;1
297;14260-0023;Leipfinger-Bader KG;Werk Puttenhausen;BY;84048;Puttenhausen;Rudelzhausen;23.759;17;Herstellung von Keramik;NACE 23.32;;09178122;1
298;14260-0024;Leipfinger Bader KG, Ziegelwerke;Werk Vatersdorf;BY;84172;Vatersdorf;Buch a.Erlbach;18.471;17;Herstellung von Keramik;NACE 23.32;;09274121;1
299;14260-0025;Ziegelwerk Englert GmbH;Ziegelwerk Englert;BY;97509;Zeilitzheim;Kolitzheim;5.660;17;Herstellung von Keramik;NACE 23.32;;09678150;1
314;14260-0042;Refratechnik Ceramics GmbH;Feuerfestwerk;NI;49328;Melle;Melle;11.808;17;Herstellung von Keramik;NACE 23.20;;03459024;4
316;14260-0045;Wienerberger GmbH;Hintermauerziegelwerk Buldern;NW;48249;Dülmen;Dülmen;11.352;17;Herstellung von Keramik;keine Information;;05558016;1
325;14260-0054;Wienerberger GmbH;Hintermauerziegelwerk Erfurt;TH;99091;Erfurt;Erfurt;0;17;Herstellung von Keramik;keine Information;;16051000;1
335;14260-0064;Wienerberger GmbH;Werk Bollstedt;TH;99998;Bollstedt;Weinbergen;16.371;17;Herstellung von Keramik;NACE 23.32;;16064066;1
205358;14260-0067;ERLUS AG;Dachziegelproduktion Neufahrn, bestehend aus den Anlagenteilen Werk 1, Werk 2 und Werk 3;BY;84088;Neufahrn NB.;Neufahrn i.NB;40.157;17;Herstellung von Keramik;NACE 23.32;;#NV;0
205359;14260-0068;ERLUS AG;Kaminrohrwerk;BY;84088;Neufahrn NB.;Neufahrn i.NB;1.388;17;Herstellung von Keramik;NACE 23.49;;#NV;0
361;14260-0097;Ziegelwerk Stengel GmbH;Ziegelwerk Stengel GmbH;BY;86633;Neuburg a. d. Donau;Neuburg a.d.Donau;4.513;17;Herstellung von Keramik;NACE 23.32;;#NV;0
379;14260-0115;Wienerberger GmbH;Werk Reetz;BB;14827;Reetz;Gülitz-Reetz;49.223;17;Herstellung von Keramik;NACE 23.32;;12070145;1
386;14260-0122;P-D Industriegesellschaft mbH;P-D Industriegesellschaft mbH Feuerfestwerke Wetro;SN;02699;Puschwitz;Puschwitz;6.916;17;Herstellung von Keramik;NACE 23.20;;14625460;1
398;14260-0136;Ziegelsysteme Michael Kellerer GmbH & Co. KG;Ziegelsysteme Michael Kellerer GmbH & Co. KG;BY;82281;Oberweikertshofen;Egenhofen;17.087;17;Herstellung von Keramik;NACE 23.32;;09179117;1
431;14260-0172;Ziegelei Hebrok GmbH & Co. KG;Ziegelei Hebrok GmbH & Co. KG;NI;49170;Natrup Hagen;Hagen am Teutoburger Wald;7.165;17;Herstellung von Keramik;NACE 23.32;;03459020;1
432;14260-0173;Hollager Ziegelwerk Berentelg & Hebrok GmbH & Co.KG;Hollager Ziegelwerk;NI;49134;Wallenhorst Hollage;Wallenhorst;5.135;17;Herstellung von Keramik;NACE 23.32;;03459033;1
437;14260-0178;ABC Keramik H. & R. Berentelg GmbH & Co. KG;Keramikwerk Velpe;NW;49492;Westerkappeln - Velpe;Westerkappeln;6.700;17;Herstellung von Keramik;NACE 23.31;;05566092;1
441;14260-0182;Ziegelwerk Ott Deisendorf GmbH;Ziegelwerk Ott Deisendorf;BW;88662;Überlingen - Deisendorf;Überlingen;8.976;17;Herstellung von Keramik;NACE 23.32;;08435059;1
445;14260-0189;August Lücking GmbH & Co KG;Anlage zum Brennen keramischer Erzeugnisse;NW;34414;Warburg-Bonenburg;Warburg;22.014;17;Herstellung von Keramik;NACE 23.32;;05762036;1
460;14260-0208;Refratechnik Cement GmbH;Werk Gochsheim;BW;76703;Kraichtal-Gochsheim;Kraichtal;12.065;17;Herstellung von Keramik;NACE 23.20;;08215097;1
