,ags,description,ags_state_digits,state,name
0,DG000000,Deutschland,DG,,Deutschland
1,01001000,"Flensburg, Stadt",01,SH,Flensburg
2,01002000,"Kiel, Landeshauptstadt",01,SH,Kiel
3,01003000,"Lübeck, Hansestadt",01,SH,Lübeck
4,01004000,"Neumünster, Stadt",01,SH,Neumünster
5,01051011,"Brunsbüttel, Stadt",01,SH,Brunsbüttel
6,01051044,"Heide, Stadt",01,SH,Heide
7,01051003,Averlak,01,SH,Averlak
8,01051010,Brickeln,01,SH,Brickeln
9,01051012,Buchholz,01,SH,Buchholz
10,01051016,Burg (Dithmarschen),01,SH,Burg (Dithmarschen)
11,01051022,Dingen,01,SH,Dingen
12,01051024,Eddelak,01,SH,Eddelak
13,01051026,Eggstedt,01,SH,Eggstedt
14,01051032,Frestedt,01,SH,Frestedt
15,01051037,Großenrade,01,SH,Großenrade
16,01051051,Hochdonn,01,SH,Hochdonn
17,01051064,Kuden,01,SH,Kuden
18,01051089,Quickborn,01,SH,Quickborn
19,01051097,Sankt Michaelisdonn,01,SH,Sankt Michaelisdonn
20,01051110,Süderhastedt,01,SH,Süderhastedt
21,01051021,Diekhusen-Fahrstedt,01,SH,Diekhusen-Fahrstedt
22,01051034,Friedrichskoog,01,SH,Friedrichskoog
23,01051046,Helse,01,SH,Helse
24,01051057,Kaiser-Wilhelm-Koog,01,SH,Kaiser-Wilhelm-Koog
25,01051062,Kronprinzenkoog,01,SH,Kronprinzenkoog
26,01051072,"Marne, Stadt",01,SH,Marne
27,01051073,Marnerdeich,01,SH,Marnerdeich
28,01051076,Neufeld,01,SH,Neufeld
29,01051077,Neufelderkoog,01,SH,Neufelderkoog
30,01051090,Ramhusen,01,SH,Ramhusen
31,01051103,Schmedeswurth,01,SH,Schmedeswurth
32,01051118,Trennewurth,01,SH,Trennewurth
33,01051119,Volsemenhusen,01,SH,Volsemenhusen
34,01051005,Barkenholm,01,SH,Barkenholm
35,01051008,Bergewöhrden,01,SH,Bergewöhrden
36,01051019,Dellstedt,01,SH,Dellstedt
37,01051020,Delve,01,SH,Delve
38,01051023,Dörpling,01,SH,Dörpling
39,01051030,Fedderingen,01,SH,Fedderingen
40,01051035,Gaushorn,01,SH,Gaushorn
41,01051036,Glüsing,01,SH,Glüsing
42,01051038,Groven,01,SH,Groven
43,01051047,Hemme,01,SH,Hemme
44,01051049,Hennstedt,01,SH,Hennstedt
45,01051052,Hövede,01,SH,Hövede
46,01051053,Hollingstedt,01,SH,Hollingstedt
47,01051058,Karolinenkoog,01,SH,Karolinenkoog
48,01051060,Kleve,01,SH,Kleve
49,01051061,Krempel,01,SH,Krempel
50,01051065,Lehe,01,SH,Lehe
51,01051068,Linden,01,SH,Linden
52,01051071,Lunden,01,SH,Lunden
53,01051080,Norderheistedt,01,SH,Norderheistedt
54,01051088,Pahlen,01,SH,Pahlen
55,01051092,Rehm-Flehde-Bargen,01,SH,Rehm-Flehde-Bargen
56,01051096,Sankt Annen,01,SH,Sankt Annen
57,01051100,Schalkholz,01,SH,Schalkholz
58,01051102,Schlichting,01,SH,Schlichting
59,01051114,Tellingstedt,01,SH,Tellingstedt
60,01051117,Tielenhemme,01,SH,Tielenhemme
61,01051120,Wallen,01,SH,Wallen
62,01051125,Welmbüttel,01,SH,Welmbüttel
63,01051131,Westerborstel,01,SH,Westerborstel
64,01051133,Wiemerstedt,01,SH,Wiemerstedt
65,01051136,Wrohm,01,SH,Wrohm
66,01051139,Süderdorf,01,SH,Süderdorf
67,01051141,Süderheistedt,01,SH,Süderheistedt
68,01051048,Hemmingstedt,01,SH,Hemmingstedt
69,01051067,Lieth,01,SH,Lieth
70,01051069,Lohe-Rickelshof,01,SH,Lohe-Rickelshof
71,01051075,Neuenkirchen,01,SH,Neuenkirchen
72,01051081,Norderwöhrden,01,SH,Norderwöhrden
73,01051082,Nordhastedt,01,SH,Nordhastedt
74,01051087,Ostrohe,01,SH,Ostrohe
75,01051107,Stelle-Wittenwurth,01,SH,Stelle-Wittenwurth
76,01051113,Wöhrden,01,SH,Wöhrden
77,01051122,Weddingstedt,01,SH,Weddingstedt
78,01051130,Wesseln,01,SH,Wesseln
79,01051001,Albersdorf,01,SH,Albersdorf
80,01051002,Arkebek,01,SH,Arkebek
81,01051004,Bargenstedt,01,SH,Bargenstedt
82,01051006,Barlt,01,SH,Barlt
83,01051015,Bunsoh,01,SH,Bunsoh
84,01051017,Busenwurth,01,SH,Busenwurth
85,01051027,Elpersbüttel,01,SH,Elpersbüttel
86,01051028,Epenwöhrden,01,SH,Epenwöhrden
87,01051039,Gudendorf,01,SH,Gudendorf
88,01051054,Immenstedt,01,SH,Immenstedt
89,01051063,Krumstedt,01,SH,Krumstedt
90,01051074,"Meldorf, Stadt",01,SH,Meldorf
91,01051078,Nindorf,01,SH,Nindorf
92,01051083,Odderade,01,SH,Odderade
93,01051085,Offenbüttel,01,SH,Offenbüttel
94,01051086,Osterrade,01,SH,Osterrade
95,01051098,Sarzbüttel,01,SH,Sarzbüttel
96,01051099,Schafstedt,01,SH,Schafstedt
97,01051104,Schrum,01,SH,Schrum
98,01051126,Wennbüttel,01,SH,Wennbüttel
99,01051134,Windbergen,01,SH,Windbergen
100,01051135,Wolmersdorf,01,SH,Wolmersdorf
