,cat,type,raito_CO2_total
0,i,CO2e_combustion_based,0.5842242937836013
1,i,CO2e_production_based,0.4157757062163987
2,i,CO2e_total,1.0
3,i,energy,4.640930385024204
4,i,prod_volume,1.6051009627768351
5,p,CO2e_combustion_based,0.5842242937836013
6,p,CO2e_production_based,0.4157757062163987
7,p,CO2e_total,1.0
8,p,energy,4.640930385024204
9,p,prod_volume,1.6051009627768351
10,p_chem,CO2e_combustion_based,0.7485729334969243
11,p_chem,CO2e_production_based,0.25142706650307567
12,p_chem,CO2e_total,1.0
13,p_chem,energy,6.507124299815361
14,p_chem,prod_volume,0.4674389797365202
15,p_chem_ammonia,CO2e_combustion_based,0.27350576721426073
16,p_chem_ammonia,CO2e_combustion_based_per_t,8.738203425375742e-08
17,p_chem_ammonia,CO2e_production_based,0.7264942327857392
18,p_chem_ammonia,CO2e_production_based_per_t,2.3243621111499476e-07
19,p_chem_ammonia,CO2e_total,1.0
20,p_chem_ammonia,energy,3.8290807409996503
21,p_chem_ammonia,energy_use_factor,2.4466969591052083e-08
22,p_chem_ammonia,pct_energy,2.2719328905976933e-08
23,p_chem_ammonia,prod_volume,0.5470115344285215
24,p_chem_basic,CO2e_combustion_based,0.8631647101345037
25,p_chem_basic,CO2e_combustion_based_per_t,1.6137877574165372e-07
26,p_chem_basic,CO2e_production_based,0.13683528986549637
27,p_chem_basic,CO2e_production_based_per_t,2.5598012703848522e-08
28,p_chem_basic,CO2e_total,1.0
29,p_chem_basic,energy,6.961067314704472
30,p_chem_basic,energy_use_factor,2.225914148160741e-09
31,p_chem_basic,pct_energy,4.0622933203933526e-08
32,p_chem_basic,prod_volume,0.29810555229242724
33,p_chem_other,CO2e_combustion_based,1.0
34,p_chem_other,CO2e_combustion_based_per_t,2.632131072498045e-07
35,p_chem_other,CO2e_production_based,0.0
36,p_chem_other,CO2e_production_based_per_t,0.0
37,p_chem_other,CO2e_total,1.0
38,p_chem_other,energy,9.240856945583552
39,p_chem_other,energy_use_factor,6.103492342024452e-08
40,p_chem_other,pct_energy,5.340555799271396e-08
41,p_chem_other,prod_volume,1.4545385187587023
42,p_metal,CO2e_combustion_based,0.6405437582616803
43,p_metal,CO2e_production_based,0.3594562417383197
44,p_metal,CO2e_total,1.0
45,p_metal,energy,3.1854133521182577
46,p_metal,prod_volume,0.9168590610928965
47,p_metal_nonfe,CO2e_combustion_based,0.6838768136723623
48,p_metal_nonfe,CO2e_combustion_based_per_t,5.5082070344967177e-08
49,p_metal_nonfe,CO2e_production_based,0.3161231863276377
50,p_metal_nonfe,CO2e_production_based_per_t,2.6343598860636477e-08
51,p_metal_nonfe,CO2e_total,1.0
52,p_metal_nonfe,energy,8.467072838819885
53,p_metal_nonfe,energy_use_factor,8.382054182929787e-08
54,p_metal_nonfe,pct_energy,4.550257985019028e-08
55,p_metal_nonfe,prod_volume,2.972276413266903
56,p_metal_steel,CO2e_combustion_based,0.6372897570626358
57,p_metal_steel,CO2e_production_based,0.36271024293736415
58,p_metal_steel,CO2e_total,1.0
59,p_metal_steel,energy,2.7887986631239974
60,p_metal_steel,pct_energy,1.4566856260918932e-08
61,p_metal_steel,prod_volume,0.7625119820530404
62,p_metal_steel_primary,CO2e_combustion_based,0.5651862514775344
63,p_metal_steel_primary,CO2e_combustion_based_per_t,1.8610376632580332e-08
64,p_metal_steel_primary,CO2e_production_based,0.4348137485224657
65,p_metal_steel_primary,CO2e_production_based_per_t,1.4282382066863976e-08
66,p_metal_steel_primary,CO2e_total,1.0
67,p_metal_steel_primary,energy,3.0727237103392078
68,p_metal_steel_primary,energy_use_factor,4.544394294002174e-09
69,p_metal_steel_primary,pct_energy,1.9908775002295242e-08
70,p_metal_steel_primary,prod_volume,0.6556911767060281
71,p_metal_steel_secondary,CO2e_combustion_based,0.9919457405116445
72,p_metal_steel_secondary,CO2e_combustion_based_per_t,8.195932027691275e-08
73,p_metal_steel_secondary,CO2e_production_based,0.008054259488355468
74,p_metal_steel_secondary,CO2e_production_based_per_t,1.0644067568430227e-09
75,p_metal_steel_secondary,CO2e_total,1.0
76,p_metal_steel_secondary,energy,1.392254682018242
77,p_metal_steel_secondary,energy_use_factor,9.89898283864011e-08
78,p_metal_steel_secondary,pct_energy,8.515254054744181e-09
79,p_metal_steel_secondary,prod_volume,1.2879321757800573
80,p_miner,CO2e_combustion_based,0.41449031816571047
81,p_miner,CO2e_production_based,0.5855096818342895
82,p_miner,CO2e_total,1.0
83,p_miner,energy,2.387949890861924
84,p_miner,prod_volume,1.6430172150000792
85,p_miner_cement,CO2e_combustion_based,0.31681252997273335
86,p_miner_cement,CO2e_combustion_based_per_t,9.296543261206087e-09
