Ort Original,VET2018_t,i_category,AGS
"Dillingen, Saar",407136,metal_steel_primary,10044111
Mülheim an der Ruhr,53935,other_further,05117000
Bad Münstereifel,18639,other_further,05366004
Sehnde,654419,miner_cement,03241016
Oberharz am Brocken,179402,miner_chalk,15085228
Oberharz am Brocken,257226,miner_chalk,15085228
Oberharz am Brocken,40810,miner_chalk,15085228
Oberharz am Brocken,97226,miner_chalk,15085228
Saal a.d.Donau,296114,miner_chalk,09273166
Oberharz am Brocken,48840,miner_chalk,15085228
Halle (Westf.),9506,miner_chalk,05754012
Wanzleben,107887,other_further,15083531
Oberharz am Brocken,197078,miner_chalk,15085228
Meißner,49916,miner_chalk,06636008
Kalkar,45114,other_further,05154024
Mühlberg/Elbe,72412,other_further,12062341
Oberharz am Brocken,108815,miner_chalk,15085228
Köln,157478,miner_glas,05315000
Lauscha,87322,miner_glas,16072011
Tettau,5753,miner_glas,09476179
Steinbach a.Wald,78773,miner_glas,09476175
Osterweddingen,145985,miner_glas,15083490
Osterweddingen,125921,miner_glas,15083490
Tettau - Kleintettau,5529,miner_glas,09476179
Neuburg a. d. Donau,76769,miner_glas,09185149
"Fürstenzell, Markt",22588,miner_ceram,09275122
Puttenhausen,23759,miner_ceram,09178122
Vatersdorf,18471,miner_ceram,09274121
Zeilitzheim,5660,miner_ceram,09678150
Melle,11808,miner_ceram,03459024
Bollstedt,16371,miner_ceram,16064066
Neufahrn NB.,40157,miner_ceram,09274153
Neufahrn NB.,1388,miner_ceram,09274153
Neuburg a. d. Donau,4513,miner_ceram,09185149
Reetz,49223,miner_ceram,12070145
Puschwitz,6916,miner_ceram,14625460
Oberweikertshofen,17087,miner_ceram,09179117
Natrup Hagen,7165,miner_ceram,03459020
Wallenhorst Hollage,5135,miner_ceram,03459033
Westerkappeln - Velpe,6700,miner_ceram,05566092
Überlingen - Deisendorf,8976,miner_ceram,08435059
Warburg-Bonenburg,22014,miner_ceram,05762036
Kraichtal-Gochsheim,12065,miner_ceram,08215097
Münster - Hiltrup,9105,miner_ceram,05515000
Verbandsgemeinde Niedere Börde OT Groß Ammensleben,42839,miner_ceram,15083390
Alfter-Witterschlick,22443,miner_ceram,05382004
Natrup Hagen,4801,miner_ceram,03459020
Weinbergen / Höngeda,16285,miner_ceram,16064066
Ichenhausen-Autenried,10013,miner_ceram,09774143
Wertingen-Roggden,7895,miner_ceram,09773182
Schöpstal / OT Ebersbach,4692,miner_ceram,14626520
Eisenberg / Pfalz,7982,miner_ceram,07333019
Eisenberg / Pfalz,2210,miner_ceram,07333019
Klingenberg / Main,6072,miner_ceram,09676134
Hatzfeld/Eder,2802,other_paper,06635014
Kriebstein OT Kriebethal,68772,other_paper,14522300
Annweiler-Sarnstall,86062,other_paper,07337501
Arnsberg-Müschede,24100,other_paper,05958004
Marsberg Giershagen,24512,other_paper,05958024
Diemelstadt-Wrexen,80569,other_paper,06635008
Schleiden-Gemünd,2663,other_paper,05366036
Zülpich - Sinzenich,40521,other_paper,05366044
"Neu Kaliß, OT Heiddorf",6226,other_paper,13076103
Diemelstadt-Wrexen,445,other_paper,06635008
Brunnenthal,0,other_paper,09475141
Nidda - Oberschmitten,0,other_paper,06440016
Neuengönna / Porstendorf,0,other_paper,16074063
Lutherstadt Wittenberg,49946,chem_ammonia,15091375
Nidda - Oberschmitten,13801,other_paper,06440016
Wasserburg am Inn,86807,other_food,09187182
Mützel,10824,other_food,15086040
Werder/Havel,19661,other_further,12069656
Meschede - Grevenstein,10726,other_food,12069656
Biberach an der Riss,27902,chem_other,08426021
Addrup-Essen,41923,other_food,03453006
Heringen Werra,29428,chem_ammonia,06632009
Philippsthal/Werra,18931,chem_ammonia,06632016
Heringen/Werra,161052,chem_ammonia,06632009
Philippsthal/Werra,291379,chem_ammonia,06632016
Wachau OT Leppersdorf,13410,other_food,14625600
Leutkirch-Adrazhofen,52852,other_food,08436055
Krefeld-Uerdingen,8747,other_further,05114000
Gmund am Tegernsee,9654,other_paper,09182116
Biberach an der Riss,27638,chem_other,08426021
Bergen-Hohne,13831,other_further,03351004
Rostock,6479,other_further,13003000
Herrenberg-Haslach,3332,miner_glas,08115021
Wachau OT Leppersdorf,127694,other_food,14625600
Wiefelstede-Dringenburg,20583,other_food,03451008
Lutherstadt Wittenberg,30145,chem_ammonia,15091375
Lutherstadt Wittenberg,1343076,chem_ammonia,15091375
Lutherstadt Wittenberg,1249030,chem_ammonia,15091375
Lutherstadt Wittenberg,36520,chem_basic,15091375
Krefeld-Uerdingen,1379,chem_basic,05114000
Töging am Inn,41685,metal_nonfe,09171132
Stadt Seeland,117641,metal_nonfe,15089307
Stadt Seeland,11045,metal_nonfe,15089307
Deißlingen/Lauffen,21634,miner_chalk,08125056
Wünschendorf,112942,miner_chalk,16076084
